dish	Avg.Star
chili powder	4.0
mozzarella	4.0
diners drive ins and dives	4.0
patra	4.0
milk chocolate	4.0
tomatoes and onions	4.0
tater tots	4.0
long island	4.0
in n out	4.0
polenta	4.0
chocolate syrup	4.0
spanish rice	4.0
goulash	4.0
olive oil	4.0
and pickles	4.0
dried fruit	4.0
monday night	4.0
rice pudding	4.0
trotte	4.0
home fries	4.0
sun city	4.0
jerk fried rice and black	4.0
gnocchi	4.0
bay leaves	4.0
ice cream sandwich	4.0
guanciale	4.0
graham cracker	4.0
prosecco	4.0
slow food	4.0
key lime	4.0
hainanese chicken rice	4.0
cantonese cuisine	4.0
crispy kau chee	4.0
ravioli	4.0
wild rice	4.0
basmati rice	4.0
malga	4.0
san gabriel valley	4.0
cottage cheese	4.0
asian american	4.0
lentils	4.0
fondue	4.0
rice chicken	4.0
white mushrooms	4.0
sea scallops	4.0
white bread	4.0
oolong tea	4.0
mai tai	4.0
carne asada tacos	4.0
lasagna	4.0
bloody mary	4.0
lobster bisque	4.0
dress code	4.0
soy egg	4.0
valet parking	4.0
chocolate chip	4.0
guotie	4.0
bachelorette party	4.0
ciabatta	4.0
great white	4.0
sea urchin	4.0
strawberry shortcake	4.0
halo halo	4.0
skirt steak	4.0
red snapper	4.0
garlic dip	4.0
sauerkraut	4.0
baba	4.0
swap meet	4.0
eggplants	4.0
swordfish	4.0
planet hollywood	4.0
pork belly	4.0
puffed rice	4.0
caramelized onions	4.0
bread crumbs	4.0
salisbury steak	4.0
steak and chicken	4.0
tea egg	4.0
chinese american	4.0
porcini mushrooms	4.0
chicken fajitas	4.0
love happy	4.0
fruit salad	4.0
gluten free	3.99
black beans	3.97
red onion	3.96
home run	3.95
short rib	3.95
mint	3.94
peking duck	3.94
strawberries	3.94
fresh air	3.93
poached egg	3.92
beef tongue	3.92
puri	3.92
regular noodles	3.92
asparagus	3.92
coconut milk	3.92
gelato	3.92
dried shrimp	3.91
pork and veggies	3.91
chinese sausage	3.91
chocolate mousse	3.91
family owned business	3.91
banana leaf	3.91
jade chicken	3.9
basil	3.9
flat bread	3.9
filet	3.9
pastor	3.9
fish ball	3.89
sour cream	3.89
chocolate cake	3.88
self service	3.88
house music	3.88
carne asada	3.88
lamb	3.88
napa cabbage	3.87
tuna tartare	3.86
pork blood	3.86
pork chops	3.86
fettuccine	3.86
comfort food	3.85
green tea	3.85
sticky rice	3.85
rush hour	3.84
sweet potato	3.84
inferno	3.83
black bean	3.83
the fried rice and the	3.83
spicy salsa	3.83
americanized chinese food	3.83
anchovies	3.83
with black bean sauce	3.83
dumplings the	3.83
dipping sauce	3.83
cucumber	3.83
french bread	3.83
white wine	3.82
rice cake	3.82
green bean	3.82
hong kong	3.82
beans	3.81
goose	3.81
spinach	3.8
lemon juice	3.8
burrito	3.8
corn dog	3.8
los angeles	3.8
fountain hills	3.8
sweet pea	3.8
pork chop	3.79
green beans	3.78
hot n sour soup	3.78
salt and pepper	3.78
menta	3.78
strip mall	3.78
white pepper	3.78
garlic	3.77
acqui	3.77
braised pork	3.77
vermicelli	3.77
small salad	3.77
sushi samba	3.77
salad dressing	3.77
the stir fry	3.76
hot pot	3.76
smoked ham	3.75
mu shu	3.75
hot chocolate	3.75
chocolate glaze	3.75
mu shu pork	3.74
garlic sauce	3.74
squid	3.74
roast beef	3.73
ice cream	3.73
linguine	3.73
bok choy	3.73
pici	3.73
green salad	3.73
winter melon	3.72
pepper steak	3.71
cuttlefish	3.71
star anise	3.71
al pastor	3.71
cauliflower	3.71
sushi rolls	3.7
carne	3.7
chicken wings	3.7
sugar cane	3.7
potatoes	3.69
refried beans	3.69
bubble tea	3.69
king crab	3.69
tiramisu	3.69
fine dining restaurant	3.69
rice noodles	3.69
honey	3.68
hoisin sauce	3.68
pickles	3.68
downtown phoenix	3.67
provolone	3.67
pinni	3.67
tortilla chips	3.67
movie theater	3.67
thai curry	3.67
asti	3.67
frog legs	3.67
mac and cheese	3.67
mahi mahi	3.67
arugula	3.67
dandan noodles	3.67
mushroom	3.66
street food	3.66
red chili	3.66
honey walnut	3.66
lobster	3.66
congee	3.66
beef chow fun	3.66
chili sauce	3.66
chili pepper	3.66
mushrooms	3.66
green onions	3.65
chinese cuisine	3.65
chorizo	3.65
red wine	3.65
margaritas	3.65
tom yum	3.65
century egg	3.64
sin city	3.64
black pepper	3.64
food allergies	3.63
chile	3.63
dumplings	3.63
mussels	3.63
fried egg	3.63
stir fried	3.63
red peppers	3.63
peanut sauce	3.63
beef	3.63
bra	3.62
ground beef	3.62
lazy susan	3.62
boba milk	3.62
punch card	3.62
bacon	3.61
pork	3.61
asian cuisine	3.61
spring roll	3.61
jasmine tea	3.61
lemon	3.61
green onion	3.61
brown rice	3.6
noodle soup	3.6
rice noodle	3.6
pere	3.6
coca cola	3.6
melted cheese	3.6
mongolian beef	3.6
chicken breasts	3.6
health food	3.6
spare ribs	3.59
seafood	3.59
calamari	3.59
bean curd	3.59
corn tortilla	3.59
of garlic	3.59
pork chop rice	3.58
pita	3.58
sweet soy	3.58
gold coast	3.58
fruits	3.58
style dim	3.58
egg yolk	3.57
chicken fried	3.57
iced tea	3.57
guilty pleasure	3.57
penda	3.57
chinese noodles	3.57
creme brule	3.57
deep fried shrimp	3.57
creme brulee	3.57
bay area	3.57
orange chicken	3.56
the chicken skewer	3.56
food critic	3.56
shrimp	3.56
tripe	3.56
wonton	3.56
white sauce	3.56
more frequently	3.56
oca	3.55
sage	3.54
chinese food	3.54
sandwich	3.54
egg foo young	3.54
carnitas tacos	3.54
chicken rice	3.53
stir fry	3.53
duck sauce	3.53
sweet and sour pork	3.53
cookie	3.53
lamb chops	3.53
wonton soup	3.53
the dimsum	3.52
mashed potatoes	3.52
the orange chicken	3.52
steak	3.52
dal	3.52
mashed potato	3.52
rice	3.51
octopus	3.51
oyster sauce	3.51
chicken skewer	3.51
fried rice	3.51
cong you bing	3.5
taco has	3.5
cream dessert	3.5
art deco	3.5
wonton strips	3.5
baozi	3.5
japanese food	3.5
shopping mall	3.5
lobster tail	3.5
high roller	3.5
mantou	3.5
bow tie	3.5
tomato soup	3.5
hard boiled egg	3.5
mascarpone	3.5
malaysian cuisine	3.5
bachelor party	3.5
salmon	3.5
monte carlo	3.5
pork loin	3.5
kebab	3.5
caesar salad	3.5
garden salad	3.5
kitchen sink	3.5
upma	3.5
ricotta	3.5
mapo tofu	3.5
salami	3.5
potato chips	3.5
chicken	3.5
big night	3.5
onion	3.5
sesame seed	3.5
breadsticks	3.5
pork ribs	3.5
nuts	3.49
hot and sour soup	3.49
main course	3.49
green pepper	3.49
fried fish	3.48
apples	3.48
sesame chicken	3.48
hash browns	3.48
asino	3.48
fried chicken	3.47
char siu	3.47
meat	3.46
broccoli	3.46
chop suey	3.45
dim sum	3.45
general tso's chicken	3.45
egg roll	3.45
sesame seeds	3.45
cheese	3.44
sardine	3.44
tsao's chicken	3.44
lo mein	3.43
pepperoni	3.43
bari	3.43
dive bar	3.42
zucchini	3.42
deep fried	3.42
soy milk	3.42
egg white	3.42
kung pao chicken	3.42
litti	3.41
wonton noodle	3.41
won ton	3.41
mixed drink	3.41
french fries	3.4
sesame oil	3.4
duck soup	3.4
fast food	3.4
junk food	3.4
heart attack	3.4
meat tender	3.4
riso	3.39
miso soup	3.39
red rice	3.39
soda fountain	3.39
vada	3.38
dimsum	3.38
fried dough	3.38
dungeness crab	3.38
sausages	3.38
birthday girl	3.38
pf chang	3.37
parsley	3.36
california roll	3.36
jasmine rice	3.36
peas	3.36
bell peppers	3.35
beef broccoli	3.35
chow mein	3.34
meatball	3.34
salad bar	3.33
won ton and	3.33
youtiao	3.33
shrimp paste	3.33
tin foil	3.33
goat cheese	3.33
flautas	3.33
san gabriel	3.33
peanut butter	3.33
lard	3.32
salt	3.32
brown sauce	3.32
bell pepper	3.32
pasta	3.31
red pepper	3.3
lo mien	3.3
cast iron	3.3
ada	3.3
soft drinks	3.29
rice paper	3.29
glutinous rice	3.29
cream cheese	3.28
soft drink	3.27
mele	3.27
food chain	3.27
sweet and sour sauce	3.26
fish tank	3.26
credit cards	3.26
tomato sauce	3.26
shark fin	3.25
idli	3.25
naan	3.25
assembly line	3.25
risotto	3.25
white rice	3.25
salsa	3.24
prix fixe	3.24
language barrier	3.24
hot sauce	3.23
steamed rice	3.23
macaroni	3.23
prime rib	3.23
standard chinese	3.23
flank steak	3.22
identity crisis	3.21
buffet	3.21
cashew chicken	3.21
chinese buffet	3.2
hip hop	3.2
fast casual	3.2
waiting staff	3.2
the beef rice	3.2
fish sauce	3.2
blood orange	3.2
mexican food	3.19
elba	3.19
diet coke	3.19
chicken soup	3.18
fortune cookie	3.18
hockey puck	3.18
half chicken	3.17
smoked salmon	3.17
almond chicken	3.15
air conditioning	3.15
pizza	3.14
hot plate	3.13
tuna	3.11
pears	3.11
sweet corn	3.11
fast food chain	3.11
cheddar cheese	3.11
celebrity chef	3.11
general chicken	3.1
mixed vegetable	3.1
guacamole	3.1
dried	3.09
onion rings	3.08
gur	3.08
alba	3.07
soy sauce	3.03
toma	3.03
beef rice	3.0
lake mead	3.0
enchiladas	3.0
chinese culture	3.0
amarone	3.0
xiaolongbao	3.0
italian sausage	3.0
circus circus	3.0
mole chicken	3.0
cheesecake factory	3.0
pot roast	3.0
the mongolian beef and the	3.0
dim sim	3.0
enchilada	3.0
timo	3.0
olives	3.0
scrambled eggs	3.0
jiaozi	3.0
united states	3.0
monterey park	3.0
stir frying	3.0
vindaloo	3.0
ginger ale	3.0
new york style chinese	3.0
couscous	3.0
corned beef	3.0
olive tapenade	3.0
super bowl	3.0
pine nuts	3.0
white trash	3.0
molecular gastronomy	3.0
cool spot	3.0
canadian bacon	3.0
mint tea	3.0
frutti	3.0
fine print	3.0
chips and salsa	3.0
designated driver	3.0
falafel	3.0
black rice	3.0
marinara sauce	3.0
chick peas	3.0
biryani	3.0
kool aid	3.0
english muffin	3.0
the refried beans	3.0
water feature	3.0
cheese pie	3.0
bread pudding	3.0
soft serve	2.97
shark fin soup	2.95
panda express	2.94
french toast	2.92
security guard	2.91
cash register	2.9
snails	2.88
potato chip	2.88
parmesan	2.86
hot dogs	2.82
mole sauce	2.82
rocket	2.82
tap water	2.82
spaghetti	2.81
die hard	2.8
alici	2.8
corn starch	2.76
food court	2.75
stained glass	2.75
penne	2.75
bottled water	2.73
hot dog	2.71
credit card	2.7
camaron	2.67
veal	2.67
balsamic vinegar	2.67
pizza hut	2.67
kick ass	2.62
service oriented	2.6
iceberg lettuce	2.58
tourist trap	2.57
olive	2.57
apple pie	2.56
baked potato	2.56
taco bell	2.54
coconut chicken	2.53
sweet roll	2.5
pita bread	2.5
rock hard	2.5
shaobing	2.5
khar	2.5
bowl of salsa	2.5
double check	2.46
steak medium	2.33
orange county	2.33
growing pains	2.33
mandalay bay	2.33
debit card	2.26
gazpacho	2.25
romaine lettuce	2.14
saving grace	2.04
thyme	2.0
rosemary	2.0
cornish hen	2.0
their garlic sauce	2.0
bridal shower	2.0
god forbid	2.0
wine tasting	2.0
lamb shank	2.0
customer experience	2.0
christmas eve	2.0
small tacos	2.0
huevos rancheros	2.0
frozen food	1.94
speck	1.75
peda	1.5
el pollo loco	1.5
food poisoning	1.5
olive garden	1.33
pound cake	1.0
barfi	1.0
baby food	1.0
southern california	1.0
deer valley	1.0
white cut chicken	1.0
american cheese	1.0
veggie burger	1.0
oregano	1.0
del taco	1.0
kanji	1.0
gyro fries	0.0
bucatini	0.0
biscuit tortoni	0.0
capperi	0.0
pressed beef cartilage seasoned with onions	0.0
pignoletto	0.0
mason jar	0.0
pancetta	0.0
stuffed grape	0.0
scallops sea	0.0
miele	0.0
sichuan hotpot	0.0
appam	0.0
chingri bhape	0.0
fries gyro	0.0
alu pitika	0.0
rice and peas	0.0
farinata	0.0
orzo	0.0
risotto con agoni	0.0
cartoccio di pesce spada	0.0
soppressata	0.0
kharoli	0.0
soave	0.0
chaulai saab	0.0
kalathappam	0.0
table wine	0.0
demi glace	0.0
dal fry with tadka	0.0
rosemary and onion focaccia	0.0
kesari	0.0
val di chiana	0.0
chef boyardee	0.0
phirni	0.0
tajine	0.0
pizza oregano and garlic	0.0
latteria	0.0
nasello al forno	0.0
schiacciata	0.0
vitello	0.0
kuzhakkattai	0.0
bucatini coi fungh	0.0
pansotti alla genovese	0.0
loskora	0.0
mathura ke pede	0.0
mushrooms and sausages	0.0
formai de mut dellalta valle brembana	0.0
nero d'avola	0.0
hummus plate	0.0
pizza alla napoletana	0.0
klotznnudl	0.0
orate al forno	0.0
strozzapreti	0.0
tiella di riso	0.0
cavolfiore	0.0
risotto alla milanese	0.0
masor koni	0.0
cappon magro	0.0
cotechino friulano or musèt	0.0
alici sardine anguilla marinate	0.0
truffle roasted	0.0
pasta al pesto	0.0
banana tiramisu	0.0
khandvi	0.0
lai haq maas	0.0
akki rotti	0.0
charred eggplant	0.0
dabeli	0.0
dean martin	0.0
pepata di cozze	0.0
wedding cake	0.0
pesce spada	0.0
bel paese	0.0
bisi bele bath	0.0
aloo ki tikki	0.0
crauti sauerkraut	0.0
azteca soup	0.0
tandoor bread	0.0
sun prairie	0.0
panjeeri	0.0
kesar petha	0.0
dudhi no halwo	0.0
riso alla toscana	0.0
meat gyro	0.0
crostoli, crostui	0.0
carne pizzaiola	0.0
skee ball	0.0
primo sale	0.0
paneer tikka	0.0
la bamba	0.0
kabob lula	0.0
cacciatore	0.0
yogurt cucumber	0.0
molasses bbq	0.0
crop circle	0.0
panino	0.0
rosso di montefalco	0.0
gud papdi	0.0
chingri malai curry	0.0
keerai masiyal	0.0
black and green olives	0.0
mother india	0.0
pizzette e salatini	0.0
scampi lentil	0.0
prosciutto di parma	0.0
puttu	0.0
bardolino	0.0
pesce alla pizzaiola	0.0
tandoori chicken	0.0
ajo blanco	0.0
latterino fritto	0.0
carnitas bowl	0.0
valpolicella	0.0
bread tapenade	0.0
lacryma cristi	0.0
ariselu	0.0
varuval	0.0
rosgulla	0.0
risotto saltato	0.0
giuncata	0.0
tzatziki	0.0
rongi	0.0
spaghetti alla carbonara	0.0
flattened rice	0.0
sheermal	0.0
sattu ki roti	0.0
spinaci	0.0
neer dosa	0.0
trippa	0.0
speck friulano	0.0
obbattu	0.0
guy fieri	0.0
rice lamb	0.0
curried braised rabbit stew	0.0
scansano	0.0
rice koobideh	0.0
cicoria	0.0
rat pack	0.0
keerai sadam	0.0
cheera doi	0.0
crotonese	0.0
margherita pizza	0.0
piselli	0.0
patate e cozze	0.0
soonvali	0.0
involtini di pesce	0.0
jersey shore	0.0
pakhala	0.0
tazzelenghe	0.0
and grape juice[9]	0.0
acciughe fritte in pastella	0.0
spiedini di anguilla	0.0
ragù alla salsiccia	0.0
orata arrosto	0.0
ditalini	0.0
aglio	0.0
amriti with rabdi	0.0
sierra nevada	0.0
rumali roti	0.0
undhiyu	0.0
crescenza	0.0
bread onion	0.0
hando guri	0.0
pani pitha	0.0
pane di genzano	0.0
tagliarini	0.0
wolfgang puck	0.0
half baked	0.0
las vegas strip	0.0
cream pistachios	0.0
rocchetta	0.0
chicken shwarma	0.0
jeera aloo	0.0
carpaccio beef	0.0
rajma	0.0
pita fries	0.0
colli etruria centrale	0.0
seppie	0.0
mamma mia	0.0
tortilla flat	0.0
pansotti	0.0
bonarda	0.0
khakhra	0.0
acquadella fritta	0.0
fritata di bianchetti	0.0
pestat	0.0
scuete fumade	0.0
tagliatelle al pomodoro	0.0
pasta e fagioli	0.0
ros omelette	0.0
filet koobideh	0.0
stella artois	0.0
murgh musallam	0.0
stracciatella	0.0
seppie con i piselli	0.0
solopaca	0.0
gatta curry	0.0
squid chickpeas	0.0
risotto al barolo	0.0
feta cheese	0.0
spiedini di alici	0.0
san francisco bay	0.0
wheat upma	0.0
macedonia	0.0
hummus	0.0
shrimp lentil	0.0
crab beignets	0.0
pizza margherita	0.0
risotto ai quattro sapori	0.0
chongqing specify deep-fried chicken	0.0
puran poli	0.0
halwakadoo	0.0
pane casareccio	0.0
herbed feta dip	0.0
risotto allo zafferano con petto danatra	0.0
chhenagaja	0.0
gajar ka halwa	0.0
oltrepò pavese	0.0
thengai sadam	0.0
kadai paneer	0.0
bajri no rotlo	0.0
khorisa	0.0
samose	0.0
small fruits	0.0
neccio	0.0
musèt	0.0
chhenapoda	0.0
masor tenga	0.0
sugo al pomodoro	0.0
vino nobile di montepulciano	0.0
prosciutto flat	0.0
pezzetti di cavallo	0.0
mushroom risotto	0.0
bajji	0.0
rigatoni	0.0
pani puri	0.0
dal makhani	0.0
cash money	0.0
indian omelette	0.0
aloo shimla mirch	0.0
ed hardy	0.0
frittura mista di pesce	0.0
raschera	0.0
casu modde	0.0
risotto mushroom	0.0
chikkolee	0.0
prosciutto figs	0.0
pesce spada alla siciliana	0.0
koldil chicken	0.0
spaghetti con la bottarga	0.0
el paso	0.0
riso al nero di seppia	0.0
pandoro	0.0
lonza	0.0
angel wings	0.0
sevai lunch	0.0
sauce tzatziki	0.0
hand made corn tortillas	0.0
tortiera di cozze	0.0
south india	0.0
taleggio	0.0
riso con i porcini	0.0
gavi	0.0
focaccia	0.0
cured pork jowl	0.0
friulano	0.0
crostui	0.0
tortelloni alla zucca	0.0
jose cuervo	0.0
greek yogurt labneh	0.0
amritsari fish	0.0
shangri la	0.0
finocchio	0.0
laddu	0.0
soup tomato	0.0
banana chips	0.0
sakkara pongal	0.0
englishs olives	0.0
service stars	0.0
panzarotti	0.0
pane carasau	0.0
pane pugliese	0.0
acqua pazza	0.0
pesce al cartoccio	0.0
agrodolce	0.0
franciacorta	0.0
pale ale	0.0
saltimbocca alla romana	0.0
presnitz	0.0
abbacchio brodettato	0.0
taurasi	0.0
ghooghra	0.0
san gimignano	0.0
pizza mozzarella and anchovy	0.0
tahini spread	0.0
crocchè	0.0
payokh	0.0
katha meetha petha	0.0
ou tenga maas	0.0
octopus squid	0.0
cholafali	0.0
seppioline in umido	0.0
thayir sadam	0.0
olive spread	0.0
kinnathappam	0.0
culatello	0.0
steak tartare	0.0
panettone	0.0
hari mutter ka nimona	0.0
kosambari	0.0
bagna càuda	0.0
monte re	0.0
pea pureesweet	0.0
marrubini	0.0
chicken pasta	0.0
tonno	0.0
basilico	0.0
putizza and pinza	0.0
crocche	0.0
mexican flag	0.0
without salt	0.0
gnocchi di semolino	0.0
liptauer	0.0
ciabusco ciabusco	0.0
dum aloo	0.0
botargo	0.0
jolada rotti	0.0
lamb rice	0.0
olives dish	0.0
fusilli	0.0
sanna	0.0
conchiglie	0.0
a type of huge ravioli	0.0
totano imbottito	0.0
phulka	0.0
dum aaloo	0.0
tagliatelle alla boscaiola	0.0
sour cream and guacamole	0.0
panelle di ceci	0.0
burrini	0.0
rice meat	0.0
eliche	0.0
asparagi bianchi e verdi	0.0
caciocavallo	0.0
farro	0.0
wrap parsley	0.0
salted cod	0.0
mad men	0.0
carignano	0.0
calamintha nepeta	0.0
newport beach	0.0
biscotti	0.0
cjarsons	0.0
montescudaio	0.0
bombil fry	0.0
rose water	0.0
muffuletta	0.0
calamaretti fritti	0.0
keerai poriyal	0.0
pizza quattro formaggi	0.0
business casual	0.0
chimichanga	0.0
belly dancer	0.0
bharwaan baigan	0.0
mushroom do pyaza	0.0
khaman	0.0
kofta	0.0
muri naaru	0.0
pizza capricciosa	0.0
sweet pethas	0.0
sev mamra	0.0
parma ham	0.0
gianduiotto and gianduia	0.0
pinoli	0.0
murukku	0.0
arancini	0.0
pestât	0.0
peperoni imbottiti	0.0
currivepillai sadam	0.0
stuffed calamari in tomato sauce	0.0
risotto alla zucca	0.0
bistecca fiorentina	0.0
abbacchio alla cacciatora	0.0
cannolo siciliano	0.0
grand canal	0.0
the chicken kabob was	0.0
pakora	0.0
pita jungle	0.0
pignolo	0.0
chicken tikka	0.0
sunga pitha	0.0
shahi tukra	0.0
sciusceddu	0.0
sarde ripiene	0.0
crauti	0.0
capperi and anchovy	0.0
bora sawul	0.0
barbera	0.0
sangiovese	0.0
cut mirchi bajji	0.0
baba ghanoush	0.0
ramatori subji	0.0
colli tortonesi	0.0
india gate	0.0
kuzhambu	0.0
goulash or gulash	0.0
sajjige	0.0
trofie	0.0
lumache	0.0
piacentinu	0.0
carpaccio di pesce	0.0
falerno del massico	0.0
bhatoora	0.0
bucatini all amatriciana	0.0
bolgheri	0.0
marille	0.0
moroccan tea	0.0
kulcha	0.0
murena fritta	0.0
grine sauce	0.0
borlotti beans	0.0
risotto al cavolfiore	0.0
neapolitan pizza	0.0
rosetta	0.0
hulatang	0.0
tiramisu banana	0.0
hurum	0.0
figs prosciutto	0.0
pav bhaji	0.0
alloro	0.0
mosaranna	0.0
calamari in zimino	0.0
spaghetti alla chitarra	0.0
cold pizza	0.0
pakwan	0.0
cannelloni	0.0
magaj	0.0
thalipeeth	0.0
brodo	0.0
lenticchie	0.0
bozza pratese	0.0
cilantro jalape	0.0
ricotta rifatta	0.0
bigoli	0.0
shrimp fra diavolo	0.0
sukhdi	0.0
tapenade green	0.0
methi na gota	0.0
speck friulano di sauris	0.0
prosciutto affumicato	0.0
sardine marinate	0.0
sabudana khichadi	0.0
verdure in pinzimonio	0.0
chevdo	0.0
spumante brut	0.0
masor petu	0.0
olive tree	0.0
cacciucco	0.0
taftan	0.0
tapenade bread	0.0
dongpo braised pork	0.0
pecorino di fossa	0.0
refosco dal peduncolo rosso	0.0
asparagi bianchi e verdi asparagus	0.0
italian margarita	0.0
salad lettuce	0.0
flat breads	0.0
lukhmi	0.0
pita falafel	0.0
e fagioli	0.0
anguilla	0.0
navrattan korma	0.0
chicken shawerma	0.0
pinot noir	0.0
italian cuisine	0.0
agghiotta di pesce spada	0.0
laddoo	0.0
donna fugata	0.0
mahi mahi fish	0.0
pollo asada	0.0
moddizzosu	0.0
stoccafisso alla ligure	0.0
mexican street tacos	0.0
cake boss	0.0
pollo asado	0.0
hummus dip	0.0
tacos al pastor	0.0
gobhi matar	0.0
pollo alla cacciatora	0.0
karela bharta	0.0
bhoonja	0.0
lagana	0.0
asida	0.0
tonnarelli	0.0
parrina	0.0
orvieto	0.0
prawn malai curry	0.0
ciceri e tria	0.0
lauki ki subji	0.0
ritz carlton	0.0
cozze fritte alla viareggina	0.0
gyro	0.0
pesce a scabecciu	0.0
moong dal ka halwa	0.0
pooran-poli	0.0
radicchio	0.0
falafel sandwich	0.0
salsiccia	0.0
ramandolo	0.0
sausages including salsiccia cruda	0.0
pomodori col riso	0.0
acquadella o latterino fritto	0.0
nocce	0.0
stuffed pizza	0.0
naked city	0.0
prosciutto and melon	0.0
sous vide	0.0
bengena pitika	0.0
conegliano veneto	0.0
locha	0.0
peter piper	0.0
kadhi pakoda	0.0
linguini with clam sauce	0.0
mario batali	0.0
el segundo	0.0
cipolla	0.0
cuban sandwich	0.0
poriyal	0.0
hummus falafel	0.0
carciofi alla romana	0.0
sarde sfiziose panate	0.0
queen creek	0.0
jhal-mu?i	0.0
pizza quattro stagioni	0.0
lula shish	0.0
bucatini coi funghi	0.0
flatbread olives	0.0
grechetto	0.0
feta salad	0.0
goja	0.0
slattato	0.0
olives carpaccio	0.0
extra virgin olive oil	0.0
kachori	0.0
colline lucchesi	0.0
prosciutto di san daniele	0.0
bhajji	0.0
pongal	0.0
torta caprese	0.0
zabaglione	0.0
koottu	0.0
artichokes	0.0
fragguno	0.0
filatieddi	0.0
ragusano	0.0
avial	0.0
shrimp enchiladas	0.0
olives pita	0.0
sohan papdi	0.0
trote	0.0
sutarfeni	0.0
stelline	0.0
deep dish	0.0
boreto	0.0
greco di tufo	0.0
risotto ai gamberoni	0.0
butternut ravioli	0.0
carne asada taco's	0.0
baccalà	0.0
caprino	0.0
minestrone	0.0
great dane	0.0
chakodi	0.0
paratha	0.0
italian beef	0.0
cassata siciliana	0.0
valdobbiadene	0.0
cappelletti	0.0
carbonara spaghetti	0.0
royal beef	0.0
tomato and mozzarella pizza	0.0
casecc	0.0
caponata	0.0
warm pita bread	0.0
prosciutto	0.0
ragi rotti	0.0
goli bajje	0.0
baccala	0.0
brie and apple	0.0
konir dom	0.0
tagliatelle ai funghi	0.0
festoni	0.0
spaghetti siracusani	0.0
pizzoccheri	0.0
parotta	0.0
moussaka	0.0
osso buco	0.0
la scala	0.0
benne dosa	0.0
pane rustico	0.0
shankarpali	0.0
stuffed food	0.0
crostini	0.0
trebbiano d'abruzzo	0.0
luna rossa	0.0
italian wine	0.0
los olivos	0.0
boscaiola	0.0
gordon ramsay	0.0
val di cornia	0.0
sevai	0.0
burger truffle	0.0
kothamali sadam	0.0
zhajiangmian	0.0
florentine beefsteak	0.0
chicken tikka masala	0.0
risotto alla sbirraglia	0.0
fried small mozzarellas	0.0
mushrooms pizza	0.0
risotto with saffron	0.0
yogurt dip	0.0
maccu	0.0
fruit with pastry	0.0
bitto	0.0
fritto misto di pesce	0.0
olio e peperoncino	0.0
punugulu	0.0
stracchino	0.0
risotto al gorgonzola	0.0
tartare tuna	0.0
apache junction	0.0
aloo gobi	0.0
patate	0.0
sabzi	0.0
castelmagno	0.0
gila bend	0.0
sloppy joe	0.0
falafel wrap	0.0
puzzone di moena	0.0
pizza marinara	0.0
gluten free pizza	0.0
kabob ground	0.0
tagliatelle	0.0
vegetable biryani	0.0
leaves stuffed	0.0
khichdi	0.0
march madness	0.0
moscardini lessati alla genovese	0.0
valle di arbia	0.0
kabob beef	0.0
mohanthal	0.0
